n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad
80116	50254112.000015	0.534090422072986	0.00349854177331316	0.527233302602637	0.540947541543334	NA	prob	ratio	1	Nacional	nacional	Mensual
32074	22111822.0000048	0.549004374104438	0.0051611068696076	0.538888408765535	0.55912033944334	NA	prob	ratio	1	Nacional	13_ciudad	Mensual
62197	38749590.0000113	0.146472511432339	0.00325348003671675	0.140095683639795	0.152849339224884	NA	tsd	ratio	1	Nacional	nacional	Mensual
25793	17790653.0000033	0.148306359350741	0.00470867689920203	0.139077089103433	0.157535629598048	NA	tsd	ratio	1	Nacional	13_ciudad	Mensual
80116	50254112.000015	20695784.8782612	189052.604698894	20325242.9837811	21066326.7727412	NA	tot_pob	total	1	Nacional	nacional	Mensual
32074	22111822.0000048	9767146.31517602	134950.505388122	9502638.20296997	10031654.4273821	NA	tot_pob	total	1	Nacional	13_ciudad	Mensual
80116	50254112.000015	3551571.13014532	84706.1414976744	3385547.63528456	3717594.62500609	NA	tot_deso	total	1	Nacional	nacional	Mensual
32074	22111822.0000048	1700764.03311585	58269.3938719897	1586553.8096851	1814974.25654661	NA	tot_deso	total	1	Nacional	13_ciudad	Mensual
80116	50254112.000015	0.625744840355716	0.00335444893094543	0.619170141933609	0.632319538777823	NA	tgp	ratio	1	Nacional	nacional	Mensual
32074	22111822.0000048	0.644603115371301	0.00491322627507802	0.634973005405248	0.654233225337354	NA	tgp	ratio	1	Nacional	13_ciudad	Mensual
62197	38749590.0000113	14502233.9916048	149826.954314462	14208572.8424468	14795895.1407627	NA	pffl	total	1	Nacional	nacional	Mensual
25793	17790653.0000033	6322742.65171138	103943.322499147	6119007.92234181	6526477.38108095	NA	pffl	total	1	Nacional	13_ciudad	Mensual
79783	50299303.9999942	0.558843054735708	0.00350257198953975	0.551978035634463	0.565708073836953	0.00342360811611442	prob	ratio	2	Nacional	nacional	Mensual
31425	22129599.9999925	0.571763558077342	0.00521325694029817	0.561545368656347	0.581981747498336	0.00512808964815776	prob	ratio	2	Nacional	13_ciudad	Mensual
61700	38796078.9999937	0.12905169721588	0.00299994576856068	0.123171796206479	0.134931598225282	0.00342413104215387	tsd	ratio	2	Nacional	nacional	Mensual
25245	17810261.9999927	0.127181855888853	0.00435333280179168	0.118649071266698	0.135714640511007	0.00549905563567192	tsd	ratio	2	Nacional	13_ciudad	Mensual
79783	50299303.9999942	21680919.3001243	194516.891409076	21299667.4146453	22062171.1856034	132822.570937815	tot_pob	total	2	Nacional	nacional	Mensual
31425	22129599.9999925	10183258.7714055	140596.390206174	9907684.29589296	10458833.246918	91332.6201931769	tot_pob	total	2	Nacional	13_ciudad	Mensual
79783	50299303.9999942	3212543.64230055	79136.9296948861	3057435.75712596	3367651.52747514	86712.0042414736	tot_deso	total	2	Nacional	nacional	Mensual
31425	22129599.9999925	1483843.75173904	53956.9799339738	1378085.9408611	1589601.56261698	65045.3388084181	tot_deso	total	2	Nacional	13_ciudad	Mensual
79783	50299303.9999942	0.641648939379387	0.00335360289503478	0.635075898767757	0.648221979991017	0.00303641457537953	tgp	ratio	2	Nacional	nacional	Mensual
31425	22129599.9999925	0.655077534690355	0.00497149370321588	0.645333210758791	0.66482185862192	0.00425480575368795	tgp	ratio	2	Nacional	13_ciudad	Mensual
61700	38796078.9999937	13902616.0575689	149498.765412799	13609598.1134222	14195634.0017155	117800.979743174	pffl	total	2	Nacional	nacional	Mensual
25245	17810261.9999927	6143159.47684816	104892.886449738	5937563.33953853	6348755.6141578	75779.2052322878	pffl	total	2	Nacional	13_ciudad	Mensual
78595	50339835.0000023	0.558213851984754	0.00356032735539528	0.551235631128914	0.565192072840593	1.52199415513818e-05	prob	ratio	3	Nacional	nacional	Mensual
31295	22145533.9999988	0.576617456914394	0.00519865515366304	0.566427885941223	0.586807027887565	2.22817486120776e-05	prob	ratio	3	Nacional	13_ciudad	Mensual
60881	38837856.0000019	0.121212325568034	0.00306309324542657	0.115208653765822	0.127215997370246	1.81956446278079e-05	tsd	ratio	3	Nacional	nacional	Mensual
25113	17827825.9999985	0.126395341583906	0.00440959647088018	0.117752274730743	0.13503840843707	2.06565441094588e-05	tsd	ratio	3	Nacional	13_ciudad	Mensual
78595	50339835.0000023	21679829.2005902	195911.656751453	21295843.4957439	22063814.9054365	591.109898298946	tot_pob	total	3	Nacional	nacional	Mensual
31295	22145533.9999988	10279835.6904314	138781.323123079	10007818.7745341	10551852.6063288	397.235137232853	tot_pob	total	3	Nacional	13_ciudad	Mensual
78595	50339835.0000023	2990327.00591746	80227.8128600436	2833080.96053067	3147573.05130425	463.259790831662	tot_deso	total	3	Nacional	nacional	Mensual
31295	22145533.9999988	1487312.74610449	55392.8770751238	1378740.50276817	1595884.98944081	243.887847028113	tot_deso	total	3	Nacional	13_ciudad	Mensual
78595	50339835.0000023	0.635209013764985	0.00342351462376343	0.628498945065371	0.641919082464598	1.3537976406443e-05	tgp	ratio	3	Nacional	nacional	Mensual
31295	22145533.9999988	0.660043935617104	0.00495572373560499	0.650330519890385	0.669757351343822	1.91167643839292e-05	tgp	ratio	3	Nacional	13_ciudad	Mensual
60881	38837856.0000019	14167699.7934942	154035.747265829	13865789.2741937	14469610.3127947	525.785978206416	pffl	total	3	Nacional	nacional	Mensual
25113	17827825.9999985	6060677.56346257	105006.042270448	5854859.582311	6266495.54461413	340.810349121011	pffl	total	3	Nacional	13_ciudad	Mensual
77679	50384974.0000086	0.564685252756912	0.0035434113558553	0.557740185900265	0.57163031961356	1.58279809238902e-05	prob	ratio	4	Nacional	nacional	Mensual
30559	22163064.0000053	0.582177271103397	0.00524752470162611	0.571891904289802	0.592462637916993	1.4326643460975e-05	prob	ratio	4	Nacional	13_ciudad	Mensual
60152	38884307.0000049	0.111684658570012	0.00281346250300563	0.10617026243105	0.117199054708974	1.60186887972324e-05	tsd	ratio	4	Nacional	nacional	Mensual
24658	17847130.0000022	0.110539140892281	0.00407016689891325	0.10256136874618	0.118516913038381	1.41664787423444e-05	tsd	ratio	4	Nacional	13_ciudad	Mensual
77679	50384974.0000086	21957394.7265752	201021.133526609	21563394.4054907	22351395.0476597	615.46006943403	tot_pob	total	4	Nacional	nacional	Mensual
30559	22163064.0000053	10390193.4404289	144346.075271612	10107269.1253111	10673117.7555467	255.68946831205	tot_pob	total	4	Nacional	13_ciudad	Mensual
77679	50384974.0000086	2760623.41687905	72758.4693223577	2618017.21537322	2903229.61838487	405.526558364609	tot_deso	total	4	Nacional	nacional	Mensual
30559	22163064.0000053	1291257.55770949	49926.0823656149	1193400.3583833	1389114.75703568	170.644249536047	tot_deso	total	4	Nacional	13_ciudad	Mensual
77679	50384974.0000086	0.635681076776065	0.00341056569546781	0.628996386686422	0.642365766865707	1.45171824325512e-05	tgp	ratio	4	Nacional	nacional	Mensual
30559	22163064.0000053	0.654528262983287	0.00502964679078148	0.644669945942877	0.664386580023697	1.35407838363922e-05	tgp	ratio	4	Nacional	13_ciudad	Mensual
60152	38884307.0000049	14166288.8565507	152001.632124842	13868365.1371446	14464212.5759569	564.490578483342	pffl	total	4	Nacional	nacional	Mensual
24658	17847130.0000022	6165679.00186387	106227.638769206	5957466.43496759	6373891.56876015	241.66412942973	pffl	total	4	Nacional	13_ciudad	Mensual
77380	50428727.0000009	0.569873118347667	0.00353347326765467	0.562947529672486	0.576798707022848	9.8736874346676e-06	prob	ratio	5	Nacional	nacional	Mensual
31261	22180000.9999977	0.579451316427547	0.00517487820176997	0.569308348799548	0.589594284055547	1.64103797212053e-05	prob	ratio	5	Nacional	13_ciudad	Mensual
60301	38929301.0000013	0.106482615181602	0.0027169585589326	0.101157367368229	0.111807862994976	1.50157550427064e-05	tsd	ratio	5	Nacional	nacional	Mensual
25254	17865738.9999982	0.11023920656944	0.00406171088468662	0.102278017944033	0.118200395194848	2.44142102760548e-05	tsd	ratio	5	Nacional	13_ciudad	Mensual
77380	50428727.0000009	22184762.1559657	201018.719300442	21790766.5430285	22578757.7689028	384.375750122505	tot_pob	total	5	Nacional	nacional	Mensual
31261	22180000.9999977	10352325.9824999	141427.733509015	10075121.9852749	10629529.9797249	293.183560991453	tot_pob	total	5	Nacional	13_ciudad	Mensual
77380	50428727.0000009	2643811.44864819	70322.7133478152	2505979.3072173	2781643.59007907	392.046982928544	tot_deso	total	5	Nacional	nacional	Mensual
31261	22180000.9999977	1282628.1073353	49713.314768431	1185188.0280298	1380068.1866408	300.811014897465	tot_deso	total	5	Nacional	13_ciudad	Mensual
