n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad	trim	orden	indice
73471	50784855.9999967	0.546977721102537	0.00367084655086169	0.539782875540271	0.554172566664803	0.003294794978018079	prob	ratio	1	Nacional	nacional	Mensual	0	1	1
29130	22320774.9999902	0.559677952675479	0.00548986412058353	0.548917569605289	0.570438335745668	0.004981566710664962	prob	ratio	1	Nacional	13_ciudad	Mensual	0	2	2
57364	39291483.9999951	0.137043600682997	0.00330216351587384	0.130571342555615	0.143515858810379	0.0036939680568847185	tsd	ratio	1	Nacional	nacional	Mensual	0	1	3
23621	18018177.9999924	0.144974956666452	0.00495552527107629	0.13526180787814	0.154688105454764	0.006133183995662028	tsd	ratio	1	Nacional	13_ciudad	Mensual	0	2	4
73471	50784855.9999967	21491566.3770541	205462.877528138	21088859.9026452	21894272.851463	129457.38416207746	tot_pob	total	1	Nacional	nacional	Mensual	0	1	5
29130	22320774.9999902	10084376.9739781	147038.582211525	9796174.67316681	10372579.2747894	89758.75571163557	tot_pob	total	1	Nacional	13_ciudad	Mensual	0	2	6
73471	50784855.9999967	3413013.26806337	87750.4445652378	3241022.72367005	3585003.8124567	95483.36269467932	tot_deso	total	1	Nacional	nacional	Mensual	0	1	7
29130	22320774.9999902	1709870.51924316	63019.5344777261	1586349.36881198	1833391.66967435	75958.30229840084	tot_deso	total	1	Nacional	13_ciudad	Mensual	0	2	8
73471	50784855.9999967	0.633841665158806	0.00350517208244268	0.626971540937345	0.640711789380267	0.0030523031700680366	tgp	ratio	1	Nacional	nacional	Mensual	0	1	9
29130	22320774.9999902	0.654574923903307	0.00520273274658597	0.644377331369972	0.664772516436641	0.004646037396748559	tgp	ratio	1	Nacional	13_ciudad	Mensual	0	2	10
57364	39291483.9999951	14386904.3548776	157466.292414154	14078269.5807463	14695539.1290089	119929.52116987584	pffl	total	1	Nacional	nacional	Mensual	0	1	11
23621	18018177.9999924	6223930.50677115	110957.213316631	6006447.22031284	6441413.79322946	83713.12880927236	pffl	total	1	Nacional	13_ciudad	Mensual	0	2	12
74214	50830535.0000159	0.565166208269107	0.00357248228642687	0.558164157453539	0.572168259084674	0.0033915609853534838	prob	ratio	2	Nacional	nacional	Mensual	0	1	13
29732	22338997.0000084	0.576760662798773	0.00539911501575386	0.56617816100057	0.587343164596976	0.005231905792290283	prob	ratio	2	Nacional	13_ciudad	Mensual	0	2	14
58035	39338322.0000123	0.113531261063096	0.00286273057196048	0.107920295221615	0.119142226904577	0.00295214390329218	tsd	ratio	2	Nacional	nacional	Mensual	0	1	15
24154	18037882.0000062	0.115061571330487	0.00432373955878079	0.106586772824648	0.123536369836327	0.004523708306277382	tsd	ratio	2	Nacional	13_ciudad	Mensual	0	2	16
74214	50830535.0000159	22232690.2844162	203997.946344511	21832855.1356171	22632525.4332152	133418.31812447158	tot_pob	total	2	Nacional	nacional	Mensual	0	1	17
29732	22338997.0000084	10403540.7778096	148903.403176184	10111683.5887568	10695397.9668624	94372.49931644919	tot_pob	total	2	Nacional	13_ciudad	Mensual	0	2	18
74214	50830535.0000159	2847370.98325886	75224.3921292144	2699931.47928703	2994810.48723068	74841.74728643468	tot_deso	total	2	Nacional	nacional	Mensual	0	1	19
29732	22338997.0000084	1352690.43643558	53620.8370780779	1247591.24830118	1457789.62456997	53503.320782481365	tot_deso	total	2	Nacional	13_ciudad	Mensual	0	2	20
74214	50830535.0000159	0.63754781578297	0.00343624526748782	0.630812788972867	0.644282842593072	0.0031079245904137827	tgp	ratio	2	Nacional	nacional	Mensual	0	1	21
29732	22338997.0000084	0.651752307407332	0.00516852275519606	0.641621776534897	0.661882838279766	0.004693115544043614	tgp	ratio	2	Nacional	13_ciudad	Mensual	0	2	22
58035	39338322.0000123	14258260.7323373	154869.570004434	13954715.6220531	14561805.8426216	122260.53828941504	pffl	total	2	Nacional	nacional	Mensual	0	1	23
24154	18037882.0000062	6281650.78576098	110485.89379503	6065091.56083057	6498210.01069138	84653.86439582467	pffl	total	2	Nacional	13_ciudad	Mensual	0	2	24
73415	50871872.9999887	0.578801332997896	0.00361626937649363	0.571713458404968	0.585889207590824	0.0036096844139657993	prob	ratio	3	Nacional	nacional	Mensual	0	1	25
29613	22355569.9999974	0.59779289356299	0.00529614522317488	0.58741221536779	0.608173571758191	0.0053595316562188	prob	ratio	3	Nacional	13_ciudad	Mensual	0	2	26
57404	39380867.9999903	0.100325439547762	0.0026722589368044	0.0950877978365758	0.105563081258948	0.0027856224710770486	tsd	ratio	3	Nacional	nacional	Mensual	0	1	27
23935	18055840.9999975	0.104690653973699	0.00401637310898868	0.0968183092201308	0.112562998727266	0.0040971662568324175	tsd	ratio	3	Nacional	13_ciudad	Mensual	0	2	28
73415	50871872.9999887	22793698.8930086	212046.002465904	22378089.5130272	23209308.2729899	142152.5054280446	tot_pob	total	3	Nacional	nacional	Mensual	0	1	29
29613	22355569.9999974	10793653.4371018	153196.381268109	10493381.7739203	11093925.1002833	96770.85141915399	tot_pob	total	3	Nacional	13_ciudad	Mensual	0	2	30
